Name,Amount,Date,Audit Status,URL
Seneca Protocol - REKT,6400000,02/28/2024,Halborn,https://rekt.news/seneca-protocol-rekt/
Belt - REKT,6300000,05/29/2021,Haechi,https://rekt.news/belt-rekt/
Audius - REKT,6000000,07/23/2022,"Kudelski, OpenZeppelin",https://rekt.news/audius-rekt/
DeltaPrime - Rekt,5980000,09/15/2024,N/A,https://rekt.news/deltaprime-rekt/
Bondly - REKT,5900000,07/15/2021,Unaudited,https://rekt.news/bondly-rekt/
Inverse Finance - REKT 2,5800000,06/16/2022,Unaudited,https://rekt.news/inverse-rekt2/
Roll - REKT,5700000,03/14/2021,Unaudited,https://rekt.news/roll-rekt/
An Un-SOL-ved Mystery,5300000,08/02/2022,N/A,https://rekt.news/unsolved-mystery/
THORChain - REKT,5000000,07/15/2021,Unaudited,https://rekt.news/thorchain-rekt/
Shezmu - Rekt,4900000,09/20/2024,N/A,https://rekt.news/shezmu-rekt/
DeltaPrime - Rekt II,4850000,11/11/2024,Peckshield,https://rekt.news/deltaprime-rekt2/
Super Sushi Samurai - REKT,4800000,03/21/2024,Verichains,https://rekt.news/sss-rekt/
Gamma Strategies - REKT,4500000,01/04/2024,Out of scope,https://rekt.news/gamma-strategies-rekt/
Radiant Capital - REKT,4500000,01/02/2024,Out of scope,https://rekt.news/radiant-capital-rekt/
X-Token - REKT X2,4500000,08/29/2021,Unaudited,https://rekt.news/xtoken-rekt-x2/
Eleven Finance - REKT,4500000,06/22/2021,Unaudited,https://rekt.news/11-rekt/
Tapioca DAO - Rekt,4400000,10/18/2024,N/A,https://rekt.news/tapioca-dao-rekt/
Poly Network - REKT 2,4400000,07/01/2023,N/A,https://rekt.news/poly-network-rekt2/
Raydium - REKT,4400000,12/16/2022,N/A,https://rekt.news/raydium-rekt/
ChainSwap - REKT,4400000,07/11/2021,Unaudited,https://rekt.news/chainswap-rekt/
AlexLab - Rekt,4300000,05/14/2024,CoinFabrik,https://rekt.news/alexlab-rekt/
Conic Finance - REKT,4200000,07/21/2023,Out of scope,https://rekt.news/conic-finance-rekt/
Kokomo Finance - REKT,4000000,03/26/2023,Unaudited,https://rekt.news/kokomo-finance-rekt/
Voltage Finance - REKT,4000000,03/31/2022,Unaudited,https://rekt.news/voltage-finance-rekt/
DAO Maker - REKT,4000000,09/04/2021,TBC,https://rekt.news/daomaker-rekt/
Onyx Protocol - Rekt II,3800000,09/25/2024,CertiK,https://rekt.news/onyx-protocol-rekt2/
dForce Network - REKT,3650000,02/09/2023,Out of scope,https://rekt.news/dforce-network-rekt/
Nirvana Finance - REKT,3500000,07/28/2022,Sec3 Auto Audit Software,https://rekt.news/nirvana-rekt/
EraLend - REKT,3400000,07/25/2023,Out of scope,https://rekt.news/eralend-rekt/
Socket - REKT,3300000,01/16/2024,Out of scope,https://rekt.news/socket-rekt/
Raft - REKT,3300000,11/10/2023,"Trail of Bits, Hats Finance",https://rekt.news/raft-rekt/
SushiSwap - REKT,3300000,04/09/2023,Unaudited,https://rekt.news/sushi-yoink-rekt/
Skyward Finance - REKT,3200000,11/02/2022,Unaudited,https://rekt.news/skyward-rekt/
JayPegs Automart - REKT,3100000,09/17/2021,Unaudited,https://rekt.news/jaypegs-automart-rekt/
Banana Gun - Rekt,3000000,09/19/2024,N/A,https://rekt.news/bananagun-rekt/
Certik/Kraken - Rekt,3000000,06/09/2024,N/A,https://rekt.news/certik-kraken-rekt/
Swaprum - REKT,3000000,05/18/2023,Out of scope,https://rekt.news/swaprum-rekt/
Orion Protocol - REKT,3000000,02/02/2023,Unaudited,https://rekt.news/orion-protocol-rekt/
Fortress Protocol - REKT,3000000,05/08/2022,"Hash0x, EtherAuthority",https://rekt.news/fortress-rekt/
Deus DAO - REKT,3000000,03/15/2021,Unaudited,https://rekt.news/deus-dao-rekt/
Stars Arena - REKT,2900000,10/07/2023,Unaudited,https://rekt.news/stars-arena-rekt/
"Lucky Star Currency, FSL - REKT",2790000,10/09/2023,Unaudited,https://rekt.news/LSC-FSL-rekt/
OKX DEX - REKT,2700000,12/12/2023,N/A,https://rekt.news/okx-dex-rekt/
Remitano - REKT,2700000,09/14/2023,N/A,https://rekt.news/remitano-rekt/
Shibarium Bridge - REKT,2600000,08/17/2023,N/A,https://rekt.news/shibarium-bridge-rekt/
Atlantis Loans - REKT,2500000,06/10/2023,Unaudited,https://rekt.news/atlantis-loans-rekt/
PancakeBunny - REKT 2,2400000,07/16/2021,Unaudited,https://rekt.news/pancakebunny2-rekt/
TempleDAO - REKT,2300000,10/11/2022,Unaudited,https://rekt.news/templedao-rekt/
Platypus Finance - REKT 2,2200000,10/12/2023,Out of scope,https://rekt.news/platypus-rekt2/
ETHTrustFund - Rekt,2100000,07/20/2024,N/A,https://rekt.news/ethtrustfund-rekt/
Onyx Protocol - REKT,2100000,11/01/2023,N/A,https://rekt.news/onyx-protocol-rekt/
Balancer - REKT,2100000,08/27/2023,Out of scope,https://rekt.news/balancer-rekt/
Zunami Protocol - REKT,2100000,08/13/2023,Hashex,https://rekt.news/zunami-protocol-rekt/
Kannagi Finance - REKT,2100000,07/29/2023,Out of scope,https://rekt.news/kannagi-finance-rekt/
Gym Network - REKT,2100000,06/08/2022,Out of scope,https://rekt.news/gymnet-rekt/
Revest Finance - REKT,2010000,03/27/2022,Solidity Finance,https://rekt.news/revest-finance-rekt/
Bedrock - Rekt,2000000,09/25/2024,N/A,https://rekt.news/bedrock-rekt/
Grand Base - REKT,2000000,04/15/2024,Unaudited,https://rekt.news/grand-base/
RIP MEV Bot 2,2000000,11/07/2023,N/A,https://rekt.news/ripmevbot2/
Dexible - REKT,2000000,02/17/2023,Unaudited,https://rekt.news/dexible-rekt/
MM Finance - REKT,2000000,05/04/2022,Unaudited,https://rekt.news/madmeerkat-finance-rekt/
DODO - REKT,2000000,03/09/2021,Unaudited,https://rekt.news/au-dodo-rekt/
Akropolis - REKT,2000000,11/12/2020,"CertiK, SmartDec",https://rekt.news/akropolis-rekt/
GemPad - Rekt,1900000,12/17/2024,ContractWolf,https://rekt.news/gempad-rekt/
Pike Finance - Rekt,1900000,04/30/2024,unaudited,https://rekt.news/pike-rekt/
Hope Finance - REKT,1860000,02/20/2023,"AuditRateTech, Cognitos",https://rekt.news/hope-finance-rekt/
Merlin DEX - REKT,1820000,04/25/2023,Certik,https://rekt.news/merlin-dex-rekt/
Bent Finance - REKT,1750000,12/21/2021,Unaudited,https://rekt.news/bent-finance/
8ight Finance - REKT,1750000,12/08/2021,Unaudited,https://rekt.news/8ight-finance-rekt/
DeFiLabs - REKT,1600000,07/27/2023,Out of scope,https://rekt.news/defilabs-rekt/
Acala Network - REKT,1600000,08/13/2021,Out of scope,https://rekt.news/acala-network-rekt/
RIP MEV BOT,1500000,09/27/2022,N/A,https://rekt.news/ripmevbot/
Levyathan - REKT,1500000,07/30/2021,Unaudited,https://rekt.news/levyathan-rekt/
Treasure DAO - REKT,1400000,03/03/2022,Unaudited,https://rekt.news/treasure-dao-rekt/
Money for nothing?,1300000,12/26/2023,N/A,https://rekt.news/moneyfornothing/
The Big Combo (Growth DeFi - REKT),1300000,02/09/2021,Consensys Dilligence,https://rekt.news/the-big-combo/
Levana Protocol - REKT,1146000,12/13/2023,Out of scope,https://rekt.news/levana-rekt/
Steadefi - REKT,1140000,08/07/2023,N/A,https://rekt.news/steadefi-rekt/
Sovryn - REKT,1111000,10/04/2022,Unaudited,https://rekt.news/sovryn-rekt/
Level Finance - REKT,1100000,05/01/2023,Obelisk,https://rekt.news/level-finance-rekt/
Moby Trade - Rekt,1003080,1/8/2025,N/A,https://rekt.news/mobytrade-rekt/
RocketSwap - REKT,869000,08/14/2023,N/A,https://rekt.news/rocketswap-rekt/
Orange Finance - Rekt,843500,1/7/2024,N/A,https://rekt.news/orange-finance-rekt/
Sturdy Finance - REKT,800000,06/12/2023,Out of scope,https://rekt.news/sturdy-rekt/
Tornado Cash Governance - REKT,750000,05/20/2023,Unaudited,https://rekt.news/tornado-gov-rekt/
Autoshark - REKT,745000,05/24/2021,Techrate,https://rekt.news/autoshark-rekt/
Merlin Labs - REKT,680000,05/26/2021,Hacken,https://rekt.news/merlinlabs-rekt/
Midas Capital - REKT,660000,01/15/2023,Out of scope,https://rekt.news/midas-capital-rekt/
Unibot - REKT,640000,10/31/2023,Unaudited,https://rekt.news/unibot-rekt/
Midas Capital - REKT 2,600000,06/17/2023,Out of scope,https://rekt.news/midas-rekt2/
Curve Finance - REKT,575000,08/09/2022,N/A,https://rekt.news/curve-finance-rekt/
Merlin Labs - REKT 2,550000,05/26/2021,Unaudited,https://rekt.news/merlin2-rekt/
Hedera - REKT,515000,03/09/2023,FP Complete,https://rekt.news/hedera-rekt/
Clober Dex - Rekt,500000,12/10/2024,Kupia Security,https://rekt.news/cloberdex-rekt/
Merlin Labs - R3KT,330000,06/29/2021,Unaudited,https://rekt.news/merlin3-rekt/
The Idols NFT - Rekt,324015,1/14/2025,N/A,https://rekt.news/theidolsnft-rekt/
Saddle Finance - REKT,275735,01/20/2021,"Openzeppelin, Certik, Quantstamp",https://rekt.news/saddle-finance-rekt/
SafeDollar - REKT,248000,06/28/2021,Unaudited,https://rekt.news/safedollar-rekt/
Hypr Network - REKT,220000,12/13/2023,Unaudited,https://rekt.news/hypr-network-rekt/
