"Cryptocurrency","Year","FileName"
"DREP","01/03/2019","DREP.txt"
"Dropil","07/02/2018","Dropil.txt"
"DUO Network","27/04/2019","DUO Network.txt"
"Dusk Network","01/04/2018","Dusk Network.txt"
"DxChain","20/06/2018","DxChain.txt"
"EBCoin","26/01/2018","EBCoin.txt"
"eBoost","14/09/2016","eBoost.txt"
"ECC","01/10/2017","ECC.txt"
"Ecoreal Estate","16/10/2018","Ecoreal Estate.txt"
"EDC Blockchain","26/08/2016","EDC Blockchain.txt"
"EdenChain","25/05/2018","EdenChain.txt"
"Edgeless","01/12/2017","Edgeless.txt"
"Effect.ai","04/06/2018","Effect.ai.txt"
"Egretia","26/05/2018","Egretia.txt"
"Einsteinium","14/03/2019","Einsteinium.txt"
"EJOY","14/06/2018","EJOY.txt"
"Elastic","24/05/2018","Elastic.txt"
"Elastos","01/01/2018","Elastos.txt"
"Electra","31/01/2018","Electra.txt"
"Electrify.Asia","01/02/2018","Electrify.Asia.txt"
"Electroneum","01/03/2017","Electroneum.txt"
"Electronic Energy Coin","07/05/2019","Electronic Energy Coin.txt"
"Eligma","17/04/2018","Eligma.txt"
"Elitium","28/02/2019","Elitium.txt"
"Elixir","30/10/2017","Elixir.txt"
"Elrond","19/06/2019","Elrond.txt"
"ELTCOIN","17/03/2018","ELTCOIN.txt"
"Emanate","12/11/2018","Emanate.txt"
"Emercoin","23/08/2014","Emercoin.txt"
"EncryptoTel","21/12/2017","EncryptoTel.txt"
"Endor Protocol","18/02/2018","Endor Protocol.txt"
"Enecuum","01/12/2018","Enecuum.txt"
"ENERGI","01/08/2019","ENERGI.txt"
"Energo","01/10/2016","Energo.txt"
"Engine","01/05/2018","Engine.txt"
"Enigma","01/06/2015","Enigma.txt"
"Enjin Coin","26/09/2017","Enjin Coin.txt"
"ENTCash","28/11/2017","ENTCash.txt"
"EnterCoin","11/10/2017","EnterCoin.txt"
"Envion","14/12/2017","Envion.txt"
"EOS.IO","09/07/2017","EOS.IO.txt"
"EPLUS Coin","01/11/2017","EPLUS Coin.txt"
"EQUI","14/08/2017","EQUI.txt"
"Eristica","08/09/2017","Eristica.txt"
"Eroscoin","15/11/2017","Eroscoin.txt"
"Eryllium","13/12/2016","Eryllium.txt"
"ESBC","01/02/2019","ESBC.txt"
"EscrowCoin","20/11/2017","EscrowCoin.txt"
"Espers","20/02/2018","Espers.txt"
"Esports Token","10/08/2018","Esports Token.txt"
"Essentia","16/01/2018","Essentia.txt"
"Eterbase","10/10/2018","Eterbase.txt"
"ETERNAL TOKEN","04/06/2018","ETERNAL TOKEN.txt"
"EthBet","17/09/2017","EthBet.txt"
"Ethbits","01/03/2017","Ethbits.txt"
"Ether Kingdom","28/03/2019","Ether Kingdom.txt"
"Ether Social Network","26/12/2017","Ether Social Network.txt"
"Ether Zero","01/01/2018","Ether Zero.txt"
"Ethereum","01/11/2013","Ethereum.txt"
"ethereum classic","01/03/2017","ethereum classic.txt"
"Ethereum Gold Project","01/11/2018","Ethereum Gold Project.txt"
"EthereumX","01/11/2018","EthereumX.txt"
